origin,problem_id,topic_id,created_at,annotation
extra_bmps/1.bmp,517587,102,2020-03-23 18:34:30.888766+00:00,"[{'x': 0.39325387, 'y': 0.51697572}, {'x': 0.56308317, 'y': 0.29482667500000004}]"
extra_bmps/1.bmp,517658,103,2020-03-23 18:35:44.947144+00:00,"[{'x': 0.025308643, 'y': 0.7141707}, {'x': 0.9512346, 'y': 0.22785829}]"
extra_bmps/1.bmp,517729,104,2020-03-23 18:36:59.057487+00:00,"[{'x': 0.44787532, 'y': 0.6902246}, {'x': 0.5124917, 'y': 0.24590786}]"
extra_bmps/1.bmp,517800,105,2020-03-23 18:38:12.002963+00:00,"[{'x': 0.40442497, 'y': 0.680891}, {'x': 0.45813203, 'y': 0.25254962}]"
extra_bmps/10.bmp,517588,102,2020-03-23 18:34:31.051831+00:00,"[{'x': 0.60027349, 'y': 0.55194472}, {'x': 0.77563465, 'y': 0.314939215}]"
extra_bmps/10.bmp,517659,103,2020-03-23 18:35:45.180867+00:00,"[{'x': 0.22266667, 'y': 0.76354164}, {'x': 0.9906667, 'y': 0.240625}]"
extra_bmps/10.bmp,517730,104,2020-03-23 18:36:59.219352+00:00,"[{'x': 0.45410627, 'y': 0.65631264}, {'x': 0.5197203, 'y': 0.27294686}]"
extra_bmps/10.bmp,517801,105,2020-03-23 18:38:12.218821+00:00,"[{'x': 0.5123457, 'y': 0.6841116}, {'x': 0.55617285, 'y': 0.29285735}]"
extra_bmps/11.bmp,517589,102,2020-03-23 18:34:31.192569+00:00,"[{'x': 0.509973865, 'y': 0.54832245}, {'x': 0.673421145, 'y': 0.33118172}]"
extra_bmps/11.bmp,517660,103,2020-03-23 18:35:45.345543+00:00,"[{'x': 0.16498068, 'y': 0.7575458799999999}, {'x': 0.9861884, 'y': 0.24928181}]"
extra_bmps/11.bmp,517731,104,2020-03-23 18:36:59.444332+00:00,"[{'x': 0.46410065, 'y': 0.67248231}, {'x': 0.5560683, 'y': 0.29523730000000004}]"
extra_bmps/11.bmp,517802,105,2020-03-23 18:38:12.423490+00:00,"[{'x': 0.5762993, 'y': 0.69895715}, {'x': 0.63835657, 'y': 0.25467628}]"
extra_bmps/12.bmp,517590,102,2020-03-23 18:34:31.365978+00:00,"[{'x': 0.37140119, 'y': 0.541281865}, {'x': 0.525877955, 'y': 0.333988325}]"
extra_bmps/12.bmp,517661,103,2020-03-23 18:35:45.521235+00:00,"[{'x': 0.0335555425, 'y': 0.777925925}, {'x': 0.92266665, 'y': 0.23925924999999998}]"
extra_bmps/12.bmp,517732,104,2020-03-23 18:36:59.558045+00:00,"[{'x': 0.43834278, 'y': 0.68564546}, {'x': 0.5001995, 'y': 0.25993723}]"
extra_bmps/12.bmp,517803,105,2020-03-23 18:38:12.593128+00:00,"[{'x': 0.38394362000000004, 'y': 0.68774768}, {'x': 0.42889171000000004, 'y': 0.25546375}]"
extra_bmps/13.bmp,517591,102,2020-03-23 18:34:31.467751+00:00,"[{'x': 0.2251231, 'y': 0.5667749}, {'x': 0.40552998, 'y': 0.33228984}]"
extra_bmps/13.bmp,517662,103,2020-03-23 18:35:45.656123+00:00,"[{'x': 0.009999999999999998, 'y': 0.773777775}, {'x': 0.7646666799999999, 'y': 0.25674072000000003}]"
extra_bmps/13.bmp,517733,104,2020-03-23 18:36:59.754728+00:00,"[{'x': 0.43397745, 'y': 0.7488889}, {'x': 0.52, 'y': 0.2617778}]"
